event_id,reporting_year,trust_code,trust_name,region,site_code,ward_type,bed_id,discharge_ts,cleaning_start_ts,cleaning_complete_ts,maintenance_clear_ts,equipment_ready_ts,isolation_clear_ts,bed_ready_ts,turnaround_target_minutes,turnaround_minutes,turnaround_bucket,within_target,primary_blocker,queue_delay_minutes,cleaning_minutes,porter_delay_minutes,equipment_delay_minutes,maintenance_delay_minutes,isolation_delay_minutes,clinical_hold_minutes
BED-R1H-2024-00089,2024/25,R1H,BARTS HEALTH NHS TRUST,LONDON COMMISSIONING REGION,R1H-SITE-03,Emergency Observation,R1H-03-0089,2025-03-18T01:40:00,2025-03-18T02:02:00,2025-03-18T02:43:00,2025-03-18T02:43:00,2025-03-18T02:43:00,2025-03-18T04:50:00,2025-03-18T04:50:00,120,190,2-4 hours,No,No major blocker,22,41,0,0,0,127,0
BED-R1H-2024-00090,2024/25,R1H,BARTS HEALTH NHS TRUST,LONDON COMMISSIONING REGION,R1H-SITE-08,Medical Ward,R1H-08-0090,2024-05-14T12:40:00,2024-05-14T12:55:00,2024-05-14T13:16:00,2024-05-14T13:16:00,2024-05-14T13:35:00,2024-05-14T14:04:00,2024-05-14T14:04:00,120,84,1-2 hours,Yes,No major blocker,15,21,0,19,0,48,0
BED-R1H-2024-00091,2024/25,R1H,BARTS HEALTH NHS TRUST,LONDON COMMISSIONING REGION,R1H-SITE-09,General Ward,R1H-09-0091,2024-11-13T13:20:00,2024-11-13T13:42:00,2024-11-13T14:00:00,2024-11-13T16:20:00,2024-11-13T14:00:00,2024-11-13T14:00:00,2024-11-13T16:20:00,120,180,2-4 hours,No,Maintenance clearance,13,18,9,0,140,0,0
BED-R1H-2024-00092,2024/25,R1H,BARTS HEALTH NHS TRUST,LONDON COMMISSIONING REGION,R1H-SITE-07,Medical Ward,R1H-07-0092,2025-01-28T04:40:00,2025-01-28T05:33:00,2025-01-28T06:22:00,2025-01-28T08:37:00,2025-01-28T06:22:00,2025-01-28T06:22:00,2025-01-28T08:37:00,120,237,2-4 hours,No,Awaiting porter / room release,14,49,22,0,135,0,17
BED-R1H-2024-00093,2024/25,R1H,BARTS HEALTH NHS TRUST,LONDON COMMISSIONING REGION,R1H-SITE-08,Medical Ward,R1H-08-0093,2025-01-18T23:00:00,2025-01-18T23:11:00,2025-01-18T23:41:00,2025-01-18T23:41:00,2025-01-19T01:03:00,2025-01-18T23:41:00,2025-01-19T01:03:00,120,123,2-4 hours,No,Equipment not ready,11,30,0,82,0,0,0
BED-R1H-2024-00094,2024/25,R1H,BARTS HEALTH NHS TRUST,LONDON COMMISSIONING REGION,R1H-SITE-03,Medical Ward,R1H-03-0094,2024-11-28T16:10:00,2024-11-28T17:14:00,2024-11-28T17:32:00,2024-11-28T17:32:00,2024-11-28T18:03:00,2024-11-28T17:32:00,2024-11-28T18:03:00,120,113,1-2 hours,Yes,Cleaning queue,64,18,0,31,0,0,0
BED-R1H-2024-00095,2024/25,R1H,BARTS HEALTH NHS TRUST,LONDON COMMISSIONING REGION,R1H-SITE-03,Emergency Observation,R1H-03-0095,2024-06-12T20:00:00,2024-06-12T20:38:00,2024-06-12T21:06:00,2024-06-12T21:06:00,2024-06-12T21:06:00,2024-06-12T21:06:00,2024-06-12T21:06:00,120,66,1-2 hours,Yes,No major blocker,11,28,11,0,0,0,16
BED-R1H-2024-00096,2024/25,R1H,BARTS HEALTH NHS TRUST,LONDON COMMISSIONING REGION,R1H-SITE-04,General Ward,R1H-04-0096,2025-03-28T15:20:00,2025-03-28T16:31:00,2025-03-28T17:10:00,2025-03-28T17:10:00,2025-03-28T17:10:00,2025-03-28T17:10:00,2025-03-28T17:10:00,120,110,1-2 hours,Yes,Awaiting porter / room release,22,39,49,0,0,0,0
BED-R1H-2024-00097,2024/25,R1H,BARTS HEALTH NHS TRUST,LONDON COMMISSIONING REGION,R1H-SITE-07,Surgical Ward,R1H-07-0097,2025-03-19T13:30:00,2025-03-19T14:18:00,2025-03-19T14:36:00,2025-03-19T14:36:00,2025-03-19T14:36:00,2025-03-19T14:36:00,2025-03-19T14:36:00,120,66,1-2 hours,Yes,Awaiting porter / room release,8,18,40,0,0,0,0
BED-R1H-2024-00098,2024/25,R1H,BARTS HEALTH NHS TRUST,LONDON COMMISSIONING REGION,R1H-SITE-07,General Ward,R1H-07-0098,2024-04-20T13:10:00,2024-04-20T13:55:00,2024-04-20T14:14:00,2024-04-20T14:14:00,2024-04-20T14:14:00,2024-04-20T14:14:00,2024-04-20T14:14:00,120,64,1-2 hours,Yes,Awaiting porter / room release,21,19,24,0,0,0,0
BED-R1H-2024-00099,2024/25,R1H,BARTS HEALTH NHS TRUST,LONDON COMMISSIONING REGION,R1H-SITE-04,Emergency Observation,R1H-04-0099,2024-07-30T21:50:00,2024-07-30T23:04:00,2024-07-30T23:43:00,2024-07-30T23:43:00,2024-07-30T23:43:00,2024-07-30T23:43:00,2024-07-30T23:43:00,120,113,1-2 hours,Yes,Cleaning queue,74,39,0,0,0,0,0
BED-R1H-2024-00100,2024/25,R1H,BARTS HEALTH NHS TRUST,LONDON COMMISSIONING REGION,R1H-SITE-09,Surgical Ward,R1H-09-0100,2025-03-31T10:40:00,2025-03-31T11:36:00,2025-03-31T12:16:00,2025-03-31T12:16:00,2025-03-31T12:16:00,2025-03-31T12:16:00,2025-03-31T12:16:00,120,96,1-2 hours,Yes,Awaiting porter / room release,24,40,32,0,0,0,0
BED-R1H-2024-00101,2024/25,R1H,BARTS HEALTH NHS TRUST,LONDON COMMISSIONING REGION,R1H-SITE-06,General Ward,R1H-06-0101,2024-06-18T00:50:00,2024-06-18T01:57:00,2024-06-18T02:40:00,2024-06-18T02:40:00,2024-06-18T02:40:00,2024-06-18T02:40:00,2024-06-18T02:40:00,120,110,1-2 hours,Yes,Cleaning queue,67,43,0,0,0,0,0
BED-R1H-2024-00102,2024/25,R1H,BARTS HEALTH NHS TRUST,LONDON COMMISSIONING REGION,R1H-SITE-02,General Ward,R1H-02-0102,2025-01-28T12:50:00,2025-01-28T13:29:00,2025-01-28T14:09:00,2025-01-28T14:09:00,2025-01-28T14:09:00,2025-01-28T18:18:00,2025-01-28T18:18:00,120,328,4-8 hours,No,Deep clean / isolation reset,24,40,15,0,0,249,0
BED-R1H-2024-00103,2024/25,R1H,BARTS HEALTH NHS TRUST,LONDON COMMISSIONING REGION,R1H-SITE-03,General Ward,R1H-03-0103,2024-12-21T04:00:00,2024-12-21T04:21:00,2024-12-21T05:14:00,2024-12-21T05:14:00,2024-12-21T06:18:00,2024-12-21T05:14:00,2024-12-21T06:18:00,120,138,2-4 hours,No,No major blocker,21,53,0,64,0,0,0
BED-R1H-2024-00104,2024/25,R1H,BARTS HEALTH NHS TRUST,LONDON COMMISSIONING REGION,R1H-SITE-02,Medical Ward,R1H-02-0104,2024-08-18T15:20:00,2024-08-18T16:41:00,2024-08-18T17:05:00,2024-08-18T17:05:00,2024-08-18T17:05:00,2024-08-18T17:05:00,2024-08-18T17:05:00,120,105,1-2 hours,Yes,Cleaning queue,63,24,18,0,0,0,0
BED-R1H-2024-00105,2024/25,R1H,BARTS HEALTH NHS TRUST,LONDON COMMISSIONING REGION,R1H-SITE-09,Medical Ward,R1H-09-0105,2025-03-02T07:30:00,2025-03-02T09:29:00,2025-03-02T10:10:00,2025-03-02T10:10:00,2025-03-02T10:10:00,2025-03-02T10:10:00,2025-03-02T10:10:00,120,160,2-4 hours,No,Clinical hold / late discharge,13,41,7,0,0,0,99
BED-R1H-2024-00106,2024/25,R1H,BARTS HEALTH NHS TRUST,LONDON COMMISSIONING REGION,R1H-SITE-09,General Ward,R1H-09-0106,2024-04-14T03:30:00,2024-04-14T04:12:00,2024-04-14T04:31:00,2024-04-14T04:31:00,2024-04-14T04:31:00,2024-04-14T04:31:00,2024-04-14T04:31:00,120,61,1-2 hours,Yes,Awaiting porter / room release,12,19,30,0,0,0,0
BED-R1H-2024-00107,2024/25,R1H,BARTS HEALTH NHS TRUST,LONDON COMMISSIONING REGION,R1H-SITE-07,Medical Ward,R1H-07-0107,2025-03-05T06:20:00,2025-03-05T06:39:00,2025-03-05T07:25:00,2025-03-05T09:01:00,2025-03-05T07:25:00,2025-03-05T07:25:00,2025-03-05T09:01:00,120,161,2-4 hours,No,Maintenance clearance,19,46,0,0,96,0,0
BED-R1H-2024-00108,2024/25,R1H,BARTS HEALTH NHS TRUST,LONDON COMMISSIONING REGION,R1H-SITE-09,Surgical Ward,R1H-09-0108,2024-07-14T11:00:00,2024-07-14T11:36:00,2024-07-14T12:09:00,2024-07-14T12:09:00,2024-07-14T12:09:00,2024-07-14T12:09:00,2024-07-14T12:09:00,120,69,1-2 hours,Yes,No major blocker,16,33,20,0,0,0,0
BED-R1H-2024-00109,2024/25,R1H,BARTS HEALTH NHS TRUST,LONDON COMMISSIONING REGION,R1H-SITE-08,Medical Ward,R1H-08-0109,2024-12-25T19:40:00,2024-12-25T19:59:00,2024-12-25T20:46:00,2024-12-25T20:46:00,2024-12-25T22:01:00,2024-12-25T20:46:00,2024-12-25T22:01:00,120,141,2-4 hours,No,Equipment not ready,19,47,0,75,0,0,0
BED-R1H-2024-00110,2024/25,R1H,BARTS HEALTH NHS TRUST,LONDON COMMISSIONING REGION,R1H-SITE-05,General Ward,R1H-05-0110,2024-07-11T16:30:00,2024-07-11T16:50:00,2024-07-11T17:27:00,2024-07-11T18:40:00,2024-07-11T17:27:00,2024-07-11T20:25:00,2024-07-11T20:25:00,120,235,2-4 hours,No,Deep clean / isolation reset,20,37,0,0,73,178,0
BED-R1H-2024-00111,2024/25,R1H,BARTS HEALTH NHS TRUST,LONDON COMMISSIONING REGION,R1H-SITE-03,Surgical Ward,R1H-03-0111,2024-11-24T20:50:00,2024-11-24T21:02:00,2024-11-24T21:38:00,2024-11-24T21:38:00,2024-11-24T21:38:00,2024-11-24T21:38:00,2024-11-24T21:38:00,120,48,Under 1 hour,Yes,No major blocker,12,36,0,0,0,0,0
BED-R1H-2024-00112,2024/25,R1H,BARTS HEALTH NHS TRUST,LONDON COMMISSIONING REGION,R1H-SITE-06,Surgical Ward,R1H-06-0112,2024-04-05T13:10:00,2024-04-05T14:14:00,2024-04-05T14:57:00,2024-04-05T14:57:00,2024-04-05T14:57:00,2024-04-05T14:57:00,2024-04-05T14:57:00,120,107,1-2 hours,Yes,Cleaning queue,64,43,0,0,0,0,0
BED-R1H-2024-00113,2024/25,R1H,BARTS HEALTH NHS TRUST,LONDON COMMISSIONING REGION,R1H-SITE-02,Critical Care,R1H-02-0113,2024-07-07T00:30:00,2024-07-07T00:52:00,2024-07-07T01:33:00,2024-07-07T01:33:00,2024-07-07T01:33:00,2024-07-07T01:33:00,2024-07-07T01:33:00,120,63,1-2 hours,Yes,No major blocker,22,41,0,0,0,0,0
BED-R1H-2024-00114,2024/25,R1H,BARTS HEALTH NHS TRUST,LONDON COMMISSIONING REGION,R1H-SITE-01,Medical Ward,R1H-01-0114,2025-03-24T13:10:00,2025-03-24T13:24:00,2025-03-24T14:04:00,2025-03-24T14:04:00,2025-03-24T14:04:00,2025-03-24T14:04:00,2025-03-24T14:04:00,120,54,Under 1 hour,Yes,No major blocker,14,40,0,0,0,0,0
BED-R1H-2024-00115,2024/25,R1H,BARTS HEALTH NHS TRUST,LONDON COMMISSIONING REGION,R1H-SITE-07,Medical Ward,R1H-07-0115,2024-08-29T14:10:00,2024-08-29T14:34:00,2024-08-29T15:20:00,2024-08-29T15:20:00,2024-08-29T16:47:00,2024-08-29T15:20:00,2024-08-29T16:47:00,120,157,2-4 hours,No,Equipment not ready,24,46,0,87,0,0,0
BED-R1H-2024-00116,2024/25,R1H,BARTS HEALTH NHS TRUST,LONDON COMMISSIONING REGION,R1H-SITE-07,General Ward,R1H-07-0116,2024-05-23T13:30:00,2024-05-23T14:20:00,2024-05-23T14:46:00,2024-05-23T14:46:00,2024-05-23T14:46:00,2024-05-23T14:46:00,2024-05-23T14:46:00,120,76,1-2 hours,Yes,Cleaning queue,50,26,0,0,0,0,0
BED-R1H-2024-00117,2024/25,R1H,BARTS HEALTH NHS TRUST,LONDON COMMISSIONING REGION,R1H-SITE-03,General Ward,R1H-03-0117,2024-11-09T22:40:00,2024-11-09T23:17:00,2024-11-10T00:08:00,2024-11-10T00:08:00,2024-11-10T00:08:00,2024-11-10T01:51:00,2024-11-10T01:51:00,120,191,2-4 hours,No,Deep clean / isolation reset,16,51,21,0,0,103,0
BED-R1H-2024-00118,2024/25,R1H,BARTS HEALTH NHS TRUST,LONDON COMMISSIONING REGION,R1H-SITE-02,General Ward,R1H-02-0118,2024-11-04T11:40:00,2024-11-04T12:13:00,2024-11-04T12:42:00,2024-11-04T12:42:00,2024-11-04T14:25:00,2024-11-04T12:42:00,2024-11-04T14:25:00,120,165,2-4 hours,No,Equipment not ready,21,29,12,103,0,0,0
BED-R1H-2024-00119,2024/25,R1H,BARTS HEALTH NHS TRUST,LONDON COMMISSIONING REGION,R1H-SITE-02,Surgical Ward,R1H-02-0119,2024-12-07T01:30:00,2024-12-07T02:44:00,2024-12-07T03:07:00,2024-12-07T04:30:00,2024-12-07T04:10:00,2024-12-07T03:07:00,2024-12-07T04:30:00,120,180,2-4 hours,No,Cleaning queue,74,23,0,63,83,0,0
BED-R1H-2024-00120,2024/25,R1H,BARTS HEALTH NHS TRUST,LONDON COMMISSIONING REGION,R1H-SITE-05,General Ward,R1H-05-0120,2025-02-17T22:50:00,2025-02-17T23:53:00,2025-02-18T00:45:00,2025-02-18T00:45:00,2025-02-18T01:13:00,2025-02-18T00:45:00,2025-02-18T01:13:00,120,143,2-4 hours,No,Awaiting porter / room release,7,52,56,28,0,0,0
BED-R1H-2024-00121,2024/25,R1H,BARTS HEALTH NHS TRUST,LONDON COMMISSIONING REGION,R1H-SITE-02,General Ward,R1H-02-0121,2025-02-19T18:50:00,2025-02-19T19:22:00,2025-02-19T20:09:00,2025-02-19T20:09:00,2025-02-19T20:09:00,2025-02-19T20:09:00,2025-02-19T20:09:00,120,79,1-2 hours,Yes,No major blocker,18,47,14,0,0,0,0
BED-R1H-2024-00122,2024/25,R1H,BARTS HEALTH NHS TRUST,LONDON COMMISSIONING REGION,R1H-SITE-01,Surgical Ward,R1H-01-0122,2024-12-29T14:20:00,2024-12-29T15:15:00,2024-12-29T15:47:00,2024-12-29T15:47:00,2024-12-29T16:16:00,2024-12-29T15:47:00,2024-12-29T16:16:00,120,116,1-2 hours,Yes,Cleaning queue,55,32,0,29,0,0,0
BED-R1H-2024-00123,2024/25,R1H,BARTS HEALTH NHS TRUST,LONDON COMMISSIONING REGION,R1H-SITE-04,Emergency Observation,R1H-04-0123,2025-02-10T00:30:00,2025-02-10T02:47:00,2025-02-10T03:12:00,2025-02-10T03:12:00,2025-02-10T03:12:00,2025-02-10T03:12:00,2025-02-10T03:12:00,120,162,2-4 hours,No,Clinical hold / late discharge,15,25,8,0,0,0,114
BED-R1H-2024-00124,2024/25,R1H,BARTS HEALTH NHS TRUST,LONDON COMMISSIONING REGION,R1H-SITE-03,Surgical Ward,R1H-03-0124,2024-06-24T01:50:00,2024-06-24T03:20:00,2024-06-24T04:10:00,2024-06-24T04:10:00,2024-06-24T04:10:00,2024-06-24T06:54:00,2024-06-24T06:54:00,120,304,4-8 hours,No,Deep clean / isolation reset,20,50,9,0,0,164,61
BED-R1H-2024-00125,2024/25,R1H,BARTS HEALTH NHS TRUST,LONDON COMMISSIONING REGION,R1H-SITE-03,General Ward,R1H-03-0125,2024-07-15T05:30:00,2024-07-15T05:50:00,2024-07-15T06:25:00,2024-07-15T09:42:00,2024-07-15T06:25:00,2024-07-15T06:25:00,2024-07-15T09:42:00,120,252,4-8 hours,No,Maintenance clearance,20,35,0,0,197,0,0
BED-R1H-2024-00126,2024/25,R1H,BARTS HEALTH NHS TRUST,LONDON COMMISSIONING REGION,R1H-SITE-08,Medical Ward,R1H-08-0126,2024-10-29T22:50:00,2024-10-29T23:47:00,2024-10-30T00:16:00,2024-10-30T00:16:00,2024-10-30T00:16:00,2024-10-30T00:16:00,2024-10-30T00:16:00,120,86,1-2 hours,Yes,Cleaning queue,57,29,0,0,0,0,0
BED-R1H-2024-00127,2024/25,R1H,BARTS HEALTH NHS TRUST,LONDON COMMISSIONING REGION,R1H-SITE-05,Medical Ward,R1H-05-0127,2025-02-06T22:10:00,2025-02-06T22:26:00,2025-02-06T22:44:00,2025-02-06T22:44:00,2025-02-06T23:23:00,2025-02-07T00:39:00,2025-02-07T00:39:00,120,149,2-4 hours,No,No major blocker,16,18,0,39,0,115,0
BED-R1H-2024-00128,2024/25,R1H,BARTS HEALTH NHS TRUST,LONDON COMMISSIONING REGION,R1H-SITE-03,General Ward,R1H-03-0128,2024-12-22T03:30:00,2024-12-22T05:44:00,2024-12-22T06:26:00,2024-12-22T06:26:00,2024-12-22T07:16:00,2024-12-22T06:26:00,2024-12-22T07:16:00,120,226,2-4 hours,No,Clinical hold / late discharge,22,42,0,50,0,0,112
BED-R1H-2024-00129,2024/25,R1H,BARTS HEALTH NHS TRUST,LONDON COMMISSIONING REGION,R1H-SITE-06,Medical Ward,R1H-06-0129,2024-04-04T18:00:00,2024-04-04T18:26:00,2024-04-04T18:59:00,2024-04-04T18:59:00,2024-04-04T18:59:00,2024-04-04T18:59:00,2024-04-04T18:59:00,120,59,Under 1 hour,Yes,No major blocker,8,33,0,0,0,0,18
BED-R1H-2024-00130,2024/25,R1H,BARTS HEALTH NHS TRUST,LONDON COMMISSIONING REGION,R1H-SITE-08,Medical Ward,R1H-08-0130,2024-12-18T11:20:00,2024-12-18T12:58:00,2024-12-18T13:49:00,2024-12-18T13:49:00,2024-12-18T13:49:00,2024-12-18T13:49:00,2024-12-18T13:49:00,120,149,2-4 hours,No,Clinical hold / late discharge,23,51,0,0,0,0,75
BED-R1H-2024-00131,2024/25,R1H,BARTS HEALTH NHS TRUST,LONDON COMMISSIONING REGION,R1H-SITE-04,General Ward,R1H-04-0131,2025-02-17T05:30:00,2025-02-17T06:06:00,2025-02-17T06:46:00,2025-02-17T06:46:00,2025-02-17T07:41:00,2025-02-17T06:46:00,2025-02-17T07:41:00,120,131,2-4 hours,No,Cleaning queue,36,40,0,55,0,0,0
BED-R1H-2024-00132,2024/25,R1H,BARTS HEALTH NHS TRUST,LONDON COMMISSIONING REGION,R1H-SITE-06,General Ward,R1H-06-0132,2024-05-31T18:00:00,2024-05-31T19:06:00,2024-05-31T19:28:00,2024-05-31T19:28:00,2024-05-31T20:33:00,2024-05-31T19:28:00,2024-05-31T20:33:00,120,153,2-4 hours,No,Clinical hold / late discharge,12,22,0,65,0,0,54
BED-R1H-2024-00133,2024/25,R1H,BARTS HEALTH NHS TRUST,LONDON COMMISSIONING REGION,R1H-SITE-06,Medical Ward,R1H-06-0133,2024-09-25T05:40:00,2024-09-25T06:47:00,2024-09-25T07:37:00,2024-09-25T07:37:00,2024-09-25T07:37:00,2024-09-25T07:37:00,2024-09-25T07:37:00,120,117,1-2 hours,Yes,Cleaning queue,67,50,0,0,0,0,0
BED-R1H-2024-00134,2024/25,R1H,BARTS HEALTH NHS TRUST,LONDON COMMISSIONING REGION,R1H-SITE-02,Medical Ward,R1H-02-0134,2024-12-07T20:20:00,2024-12-07T21:04:00,2024-12-07T21:50:00,2024-12-07T21:50:00,2024-12-07T21:50:00,2024-12-07T21:50:00,2024-12-07T21:50:00,120,90,1-2 hours,Yes,Cleaning queue,44,46,0,0,0,0,0
BED-R1H-2024-00135,2024/25,R1H,BARTS HEALTH NHS TRUST,LONDON COMMISSIONING REGION,R1H-SITE-02,Surgical Ward,R1H-02-0135,2025-03-21T10:00:00,2025-03-21T10:18:00,2025-03-21T10:47:00,2025-03-21T10:47:00,2025-03-21T10:47:00,2025-03-21T13:06:00,2025-03-21T13:06:00,120,186,2-4 hours,No,Deep clean / isolation reset,18,29,0,0,0,139,0
BED-R1H-2024-00136,2024/25,R1H,BARTS HEALTH NHS TRUST,LONDON COMMISSIONING REGION,R1H-SITE-02,Critical Care,R1H-02-0136,2024-07-12T00:10:00,2024-07-12T01:19:00,2024-07-12T01:40:00,2024-07-12T01:40:00,2024-07-12T02:09:00,2024-07-12T01:40:00,2024-07-12T02:09:00,120,119,1-2 hours,Yes,Cleaning queue,69,21,0,29,0,0,0
BED-R1H-2024-00137,2024/25,R1H,BARTS HEALTH NHS TRUST,LONDON COMMISSIONING REGION,R1H-SITE-02,General Ward,R1H-02-0137,2024-07-13T18:10:00,2024-07-13T18:59:00,2024-07-13T19:33:00,2024-07-13T19:33:00,2024-07-13T19:33:00,2024-07-13T19:33:00,2024-07-13T19:33:00,120,83,1-2 hours,Yes,Cleaning queue,49,34,0,0,0,0,0
BED-R1H-2024-00138,2024/25,R1H,BARTS HEALTH NHS TRUST,LONDON COMMISSIONING REGION,R1H-SITE-02,Surgical Ward,R1H-02-0138,2024-09-16T20:40:00,2024-09-16T20:56:00,2024-09-16T21:33:00,2024-09-16T21:33:00,2024-09-16T21:33:00,2024-09-16T21:33:00,2024-09-16T21:33:00,120,53,Under 1 hour,Yes,No major blocker,16,37,0,0,0,0,0
BED-R1H-2024-00139,2024/25,R1H,BARTS HEALTH NHS TRUST,LONDON COMMISSIONING REGION,R1H-SITE-07,Medical Ward,R1H-07-0139,2024-11-23T06:20:00,2024-11-23T06:42:00,2024-11-23T07:01:00,2024-11-23T07:01:00,2024-11-23T08:38:00,2024-11-23T07:01:00,2024-11-23T08:38:00,120,138,2-4 hours,No,Equipment not ready,22,19,0,97,0,0,0
BED-R1H-2024-00140,2024/25,R1H,BARTS HEALTH NHS TRUST,LONDON COMMISSIONING REGION,R1H-SITE-06,General Ward,R1H-06-0140,2024-08-26T00:10:00,2024-08-26T00:16:00,2024-08-26T01:11:00,2024-08-26T03:32:00,2024-08-26T01:11:00,2024-08-26T01:11:00,2024-08-26T03:32:00,120,202,2-4 hours,No,No major blocker,6,55,0,0,141,0,0
BED-R1H-2024-00141,2024/25,R1H,BARTS HEALTH NHS TRUST,LONDON COMMISSIONING REGION,R1H-SITE-09,General Ward,R1H-09-0141,2024-08-19T04:00:00,2024-08-19T05:01:00,2024-08-19T05:53:00,2024-08-19T05:53:00,2024-08-19T05:53:00,2024-08-19T05:53:00,2024-08-19T05:53:00,120,113,1-2 hours,Yes,Cleaning queue,61,52,0,0,0,0,0
BED-R1H-2024-00142,2024/25,R1H,BARTS HEALTH NHS TRUST,LONDON COMMISSIONING REGION,R1H-SITE-08,Emergency Observation,R1H-08-0142,2024-09-19T02:20:00,2024-09-19T02:25:00,2024-09-19T02:51:00,2024-09-19T02:51:00,2024-09-19T02:51:00,2024-09-19T02:51:00,2024-09-19T02:51:00,120,31,Under 1 hour,Yes,No major blocker,5,26,0,0,0,0,0
BED-R1H-2024-00143,2024/25,R1H,BARTS HEALTH NHS TRUST,LONDON COMMISSIONING REGION,R1H-SITE-06,Surgical Ward,R1H-06-0143,2024-11-12T07:00:00,2024-11-12T07:24:00,2024-11-12T07:46:00,2024-11-12T07:46:00,2024-11-12T07:46:00,2024-11-12T10:23:00,2024-11-12T10:23:00,120,203,2-4 hours,No,No major blocker,24,22,0,0,0,157,0
BED-R1H-2024-00144,2024/25,R1H,BARTS HEALTH NHS TRUST,LONDON COMMISSIONING REGION,R1H-SITE-08,General Ward,R1H-08-0144,2024-08-23T03:20:00,2024-08-23T03:33:00,2024-08-23T04:00:00,2024-08-23T04:00:00,2024-08-23T04:00:00,2024-08-23T04:00:00,2024-08-23T04:00:00,120,40,Under 1 hour,Yes,No major blocker,13,27,0,0,0,0,0
BED-R1H-2024-00145,2024/25,R1H,BARTS HEALTH NHS TRUST,LONDON COMMISSIONING REGION,R1H-SITE-08,General Ward,R1H-08-0145,2025-03-07T15:30:00,2025-03-07T16:31:00,2025-03-07T16:54:00,2025-03-07T16:54:00,2025-03-07T16:54:00,2025-03-07T16:54:00,2025-03-07T16:54:00,120,84,1-2 hours,Yes,Awaiting porter / room release,12,23,49,0,0,0,0
BED-R1H-2024-00146,2024/25,R1H,BARTS HEALTH NHS TRUST,LONDON COMMISSIONING REGION,R1H-SITE-09,General Ward,R1H-09-0146,2024-06-26T09:30:00,2024-06-26T09:42:00,2024-06-26T10:10:00,2024-06-26T12:03:00,2024-06-26T10:10:00,2024-06-26T10:10:00,2024-06-26T12:03:00,120,153,2-4 hours,No,Maintenance clearance,12,28,0,0,113,0,0
BED-R1H-2024-00147,2024/25,R1H,BARTS HEALTH NHS TRUST,LONDON COMMISSIONING REGION,R1H-SITE-02,Surgical Ward,R1H-02-0147,2025-02-14T17:20:00,2025-02-14T17:29:00,2025-02-14T18:21:00,2025-02-14T18:21:00,2025-02-14T18:21:00,2025-02-14T20:55:00,2025-02-14T20:55:00,120,215,2-4 hours,No,Deep clean / isolation reset,9,52,0,0,0,154,0
BED-R1H-2024-00148,2024/25,R1H,BARTS HEALTH NHS TRUST,LONDON COMMISSIONING REGION,R1H-SITE-03,Surgical Ward,R1H-03-0148,2025-01-20T00:30:00,2025-01-20T00:54:00,2025-01-20T01:46:00,2025-01-20T02:31:00,2025-01-20T01:46:00,2025-01-20T01:46:00,2025-01-20T02:31:00,120,121,2-4 hours,No,No major blocker,24,52,0,0,45,0,0
BED-R1H-2024-00149,2024/25,R1H,BARTS HEALTH NHS TRUST,LONDON COMMISSIONING REGION,R1H-SITE-01,Critical Care,R1H-01-0149,2024-08-15T11:40:00,2024-08-15T13:15:00,2024-08-15T13:52:00,2024-08-15T13:52:00,2024-08-15T15:36:00,2024-08-15T13:52:00,2024-08-15T15:36:00,120,236,2-4 hours,No,Equipment not ready,15,37,0,104,0,0,80
BED-R1H-2024-00150,2024/25,R1H,BARTS HEALTH NHS TRUST,LONDON COMMISSIONING REGION,R1H-SITE-08,Medical Ward,R1H-08-0150,2024-05-13T23:30:00,2024-05-13T23:41:00,2024-05-14T00:16:00,2024-05-14T00:16:00,2024-05-14T00:16:00,2024-05-14T00:16:00,2024-05-14T00:16:00,120,46,Under 1 hour,Yes,No major blocker,11,35,0,0,0,0,0
BED-R1H-2024-00151,2024/25,R1H,BARTS HEALTH NHS TRUST,LONDON COMMISSIONING REGION,R1H-SITE-03,General Ward,R1H-03-0151,2024-10-13T07:20:00,2024-10-13T07:30:00,2024-10-13T08:21:00,2024-10-13T08:21:00,2024-10-13T08:21:00,2024-10-13T08:21:00,2024-10-13T08:21:00,120,61,1-2 hours,Yes,No major blocker,10,51,0,0,0,0,0
BED-R1H-2024-00152,2024/25,R1H,BARTS HEALTH NHS TRUST,LONDON COMMISSIONING REGION,R1H-SITE-03,General Ward,R1H-03-0152,2025-01-15T13:00:00,2025-01-15T13:15:00,2025-01-15T13:43:00,2025-01-15T13:43:00,2025-01-15T13:43:00,2025-01-15T16:09:00,2025-01-15T16:09:00,120,189,2-4 hours,No,Deep clean / isolation reset,7,28,8,0,0,146,0
BED-R1H-2024-00153,2024/25,R1H,BARTS HEALTH NHS TRUST,LONDON COMMISSIONING REGION,R1H-SITE-08,General Ward,R1H-08-0153,2024-07-03T05:50:00,2024-07-03T06:06:00,2024-07-03T06:35:00,2024-07-03T06:35:00,2024-07-03T06:35:00,2024-07-03T06:35:00,2024-07-03T06:35:00,120,45,Under 1 hour,Yes,No major blocker,16,29,0,0,0,0,0
BED-R1H-2024-00154,2024/25,R1H,BARTS HEALTH NHS TRUST,LONDON COMMISSIONING REGION,R1H-SITE-08,Medical Ward,R1H-08-0154,2025-03-19T11:10:00,2025-03-19T11:28:00,2025-03-19T11:51:00,2025-03-19T11:51:00,2025-03-19T11:51:00,2025-03-19T11:51:00,2025-03-19T11:51:00,120,41,Under 1 hour,Yes,No major blocker,18,23,0,0,0,0,0
